asset,length,category,keyword,first issued,ask price
COVE,4,Dictionary,Other,1444169691,25
CREA,4,Spanish,Other,1444169691,10
CREO,4,Spanish,Other,1444169691,10
CRIT,4,Dictionary,Other,1444169691,25
CRITICAL,8,Dictionary,Other,1444169691,25
CRITS,5,Dictionary,Other,1444169691,25
CROWDSHARE,10,Finance,SHARE,1444153894,5
CROWDSHARES,11,Finance,SHARE,1444154062,5
CSERIES,7,Finance,SERIES,1444075253,5
CSHARE,6,Finance,SHARE,1444079910,5
CSHARES,7,Finance,SHARE,1444073482,5
CSTOCK,6,Finance,STOCK,1444081139,5
CSTOCKS,7,Finance,STOCK,1444081139,5
CTRADE,6,Finance,TRADE,1444103476,5
CTRANCHE,8,Finance,TRANCHE,1444076194,5
CUBED,5,Dictionary,Other,1444169691,25
CUBO,4,Spanish,Other,1444709379,10
CUBOS,5,Spanish,Other,1444715872,10
CUTX,4,Brandable,Other,1443475730,10
DAAA,4,Acronym,AAA,1444150908,10
DADD,4,Brandable,Other,1444169691,10
DANN,4,Name,Other,1444169691,10
DANO,4,Name,Other,1449940531,10
DAPPS,5,Internet,Other,1444169691,10
DAPS,4,Internet,Other,1444170923,10
DARKMARKET,10,Internet,Other,1449654348,10
DATO,4,Spanish,Other,1444169691,10
DATOS,5,Spanish,Other,1444169691,10
DBIT,4,Bitcoin,BIT,1444156909,10
DCASH,5,Currency,CASH,1444166834,100
DCOIN,5,Currency,COIN,1444075253,100
DCOM,4,Internet,COM,1444162839,10
DCOMPANY,8,Business,COMPANY,1444069478,5
DCORP,5,Business,CORP,1444073482,5
DDOS,4,Internet,Other,1443475345,10
DEALFLOW,8,Finance,Other,1449654348,5
DECKER,6,Name,Other,1444165380,10
DELPHI,6,Mythology,Other,1444165150,10
DENALI,6,Geographic,Other,1444170923,10
DERRIDA,7,Philosophy,Other,1447995075,10
DESCARTES,9,Philosophy,Other,1447997898,10
DEUCE,5,Dictionary,Other,1444170923,25
DEUCES,6,Internet,Other,1444170923,10
DEXO,4,Brandable,Other,1453184462,10
DEXOMATIC,9,Brandable,Other,1453229130,10
DFUND,5,Finance,FUND,1444077100,5
DGOLD,5,Finance,GOLD,1444104831,5
DIBS,4,Dictionary,Other,1444170923,25
DIEZ,4,Name,Other,1444165380,10
DIOS,4,Spanish,Other,1444169691,10
DIPO,4,Finance,IPO,1444079910,10
DIPS,4,Dictionary,Other,1444170923,25
DIVERGENT,9,Dictionary,Other,1443139045,25
DJINN,5,Mythology,Other,1444170923,10
DLLC,4,Business,LLC,1444073482,10
DLTD,4,Business,LTD,1444084382,10
DMONEY,6,Currency,MONEY,1444084382,100
DOIT,4,Brandable,Other,1444715872,10
DOLARES,7,Spanish,Other,1444709379,10
DOLCE,5,Dictionary,Other,1444170923,25
DONT,4,Dictionary,Other,1443487715,25
DOOO,4,Brandable,OOO,1444153894,10
DSHARE,6,Finance,SHARE,1444079910,5
DSHARES,7,Finance,SHARE,1444073482,5
DSTOCK,6,Finance,STOCK,1444081139,5
DSTOCKS,7,Finance,STOCK,1444081139,5
DTRADE,6,Finance,TRADE,1444103476,5
DTRANCHE,8,Finance,TRANCHE,1444076194,5
DUAL,4,Dictionary,Other,1444170923,25
DUNK,4,Dictionary,Other,1444170923,25
DUNKS,5,Dictionary,Other,1444170923,25
DUNLAP,6,Name,Other,1444165380,10
DUNN,4,Name,Other,1444170923,10
DUOS,4,Dictionary,Other,1444170923,25
EAAA,4,Acronym,AAA,1444150908,10
EBIT,4,Bitcoin,BIT,1444156909,10
EBLOCK,6,Bitcoin,BLOCK,1444149258,5
ECOMPANY,8,Business,COMPANY,1444069478,5
ECORP,5,Business,CORP,1444073482,5
EDITS,5,Dictionary,Other,1444165150,25
EHOLD,5,Finance,HOLD,1444082343,5
EHOLDINGS,9,Finance,HOLD,1444153894,5
EIPO,4,Finance,IPO,1444079910,10
EKKO,4,Brandable,Other,1443475730,10
ELEL,4,Brandable,Other,1449974976,10
ELLC,4,Business,LLC,1444073482,10
ELTD,4,Business,LTD,1444084382,10
EMAS,4,Finance,GOLD,1449345534,10
EMCEE,5,Dictionary,Other,1444165150,25
EMPRESA,7,Spanish,Other,1444709379,10
EMSG,4,Brandable,Other,1449900303,10
ENET,4,Internet,NET,1444156909,10
ENTE,4,Spanish,Other,1444709379,10
ENTIDAD,7,Spanish,Other,1444709379,10
EQQQ,4,Acronym,QQQ,1449943834,10
EQTY,4,Finance,Other,1443199736,10
EREWARD,7,Brandable,REWARD,1444149258,10
EROUND,6,Finance,ROUND,1444075545,5
ESERIES,7,Finance,SERIES,1444075253,5
ESTE,4,Spanish,Other,1444710046,10
ESTOCKS,7,Finance,STOCK,1444081139,5
ETRANCHE,8,Finance,TRANCHE,1444076194,5
EUSA,4,Acronym,USA,1444149258,10
EVEREST,7,Geographic,Other,1444165150,10
EVERETT,7,Name,Other,1444165380,10
EVEV,4,Brandable,Other,1449974976,10
EXED,4,Brandable,XXX,1444165150,10
EXES,4,Brandable,XXX,1444165150,10
EXEX,4,Brandable,XXX,1443475730,10
EXEXEX,6,Brandable,XXX,1443475730,10
EXISTENT,8,Philosophy,Other,1448312088,10
EXXX,4,Brandable,XXX,1449941124,10
EYED,4,Dictionary,Other,1444165150,25
EZEZ,4,Brandable,Other,1449974976,10
FAAA,4,Acronym,AAA,1444150908,10
FABB,4,Brandable,Other,1444170923,10
FAMA,4,Spanish,Other,1444710046,10
FAZE,4,Brandable,Other,1444170923,10
FBIT,4,Bitcoin,BIT,1444156909,10
FCOIN,5,Currency,COIN,1444075253,100
FCOM,4,Internet,COM,1444162839,10
FCOMPANY,8,Business,COMPANY,1444069478,5
FCORP,5,Business,CORP,1444073482,5
FENG,4,Name,Other,1443143217,10
FETCH,5,Dictionary,Other,1443487715,25
FFUND,5,Finance,FUND,1444077100,5
FIFO,4,Acronym,Other,1449938104,25
FIPO,4,Finance,IPO,1444079910,10
FITT,4,Brandable,Other,1444170923,10
FLLC,4,Business,LLC,1444073482,10
FLTD,4,Business,LTD,1444084382,10
FLYY,4,Brandable,Other,1444170923,10
FMONEY,6,Currency,MONEY,1444084382,100
FOCO,4,Spanish,Other,1444710046,10
FOLIO,5,Finance,Other,1443207255,5
FONO,4,Spanish,Other,1444710337,10
FOOTY,5,Gambling,Other,1444170923,10
FORA,4,Spanish,Other,1444715872,10
FORO,4,Spanish,Other,1444710337,10
FOTO,4,Spanish,PHOTO,1444169691,10
FOTOS,5,Spanish,PHOTO,1444169691,10
FOUCAULT,8,Philosophy,Other,1447995075,10
FOXO,4,Brandable,Other,1449974976,10
